customerID,split,Churn
7590-VHVEG,train,0
5575-GNVDE,train,0
3668-QPYBK,train,1
7795-CFOCW,train,0
9237-HQITU,train,1
9305-CDSKC,train,1
1452-KIOVK,test,0
6713-OKOMC,test,0
7892-POOKP,train,1
6388-TABGU,test,0
9763-GRSKD,train,0
7469-LKBCI,train,0
8091-TTVAX,train,0
0280-XJGEX,train,1
5129-JLPIS,test,0
3655-SNQYZ,train,0
8191-XWSZG,train,0
9959-WOFKT,train,0
4190-MFLUW,test,1
4183-MYFRB,train,0
8779-QRDMV,train,1
1680-VDCWW,train,0
1066-JKSGK,train,1
3638-WEABW,train,0
6322-HRPFA,test,0
6865-JZNKO,train,0
6467-CHFZW,train,1
8665-UTDHZ,train,1
5248-YGIJN,train,0
8773-HHUOZ,train,1
3841-NFECX,train,0
4929-XIHVW,train,0
6827-IEAUQ,train,0
7310-EGVHZ,train,0
3413-BMNZE,train,0
6234-RAAPL,train,0
6047-YHPVI,test,1
6572-ADKRS,train,0
5380-WJKOV,test,1
8168-UQWWF,train,1
8865-TNMNX,train,0
9489-DEDVP,train,0
9867-JCZSP,train,0
4671-VJLCL,train,0
4080-IIARD,train,0
3714-NTNFO,train,0
5948-UJZLF,train,0
7760-OYPDY,train,1
7639-LIAYI,train,0
2954-PIBKO,test,0
8012-SOUDQ,train,0
9420-LOJKX,test,1
6575-SUVOI,train,0
7495-OOKFY,test,1
4667-QONEA,train,0
1658-BYGOY,train,1
8769-KKTPH,train,0
5067-XJQFU,train,0
3957-SQXML,train,0
5954-BDFSG,train,0
0434-CSFON,train,0
1215-FIGMP,train,0
0526-SXDJP,train,0
0557-ASKVU,train,0
5698-BQJOH,test,1
5122-CYFXA,train,0
8627-ZYGSZ,train,0
3410-YOQBQ,train,0
3170-NMYVV,train,0
7410-OIEDU,train,0
2273-QCKXA,train,0
0731-EBJQB,train,0
1891-QRQSA,train,0
8028-PNXHQ,test,0
5630-AHZIL,test,0
2673-CXQEU,train,0
6416-JNVRK,train,0
5590-ZSKRV,train,0
0191-ZHSKZ,train,0
3887-PBQAO,train,0
5919-TMRGD,train,1
8108-UXRQN,train,0
9191-MYQKX,train,1
9919-YLNNG,train,0
0318-ZOPWS,train,0
4445-ZJNMU,test,0
4808-YNLEU,train,0
1862-QRWPE,test,0
2796-NNUFI,train,0
3016-KSVCP,train,0
4767-HZZHQ,train,0
2424-WVHPL,train,0
7233-PAHHL,train,0
6067-NGCEU,train,0
9848-JQJTX,train,0
8637-XJIVR,train,1
9803-FTJCG,train,0
0278-YXOOG,train,1
3212-KXOCR,train,0
4598-XLKNJ,train,1
6380-ARCEH,train,0
3679-XASPY,test,0
7123-WQUHX,train,0
5386-THSLQ,train,0
3192-NQECA,train,1
6180-YBIQI,train,0
6728-DKUCO,train,0
9750-BOOHV,train,0
8597-CWYHH,train,0
2848-YXSMW,train,0
0486-HECZI,test,1
4549-ZDQYY,train,0
5712-AHQNN,train,0
4846-WHAFZ,test,1
5256-SKJGO,train,0
3071-VBYPO,train,0
9560-BBZXK,train,0
5299-RULOA,train,1
8402-OOOHJ,train,0
9445-ZUEQE,train,0
1091-SOZGA,train,0
2928-HLDBA,train,0
0404-SWRVG,train,1
6497-TILVL,test,0
7219-TLZHO,train,0
4622-YNKIJ,train,0
4412-YLTKF,test,1
6734-PSBAW,train,0
3930-ZGWVE,test,0
2639-UGMAZ,train,0
2876-GZYZC,train,0
6207-WIOLX,train,1
8587-XYZSF,train,0
3091-FYHKI,train,1
2372-HWUHI,train,1
7799-LGRDP,train,0
7850-VWJUU,train,0
3774-VBNXY,train,0
6217-KDYWC,train,0
0390-DCFDQ,test,1
3146-MSEGF,train,0
4080-OGPJL,train,1
1095-WGNGG,train,0
2636-SJDOU,train,0
1131-QQZEB,train,0
5716-EZXZN,train,0
6837-BJYDQ,train,0
2135-RXIHG,train,1
6440-DKQGE,train,0
3466-BYAVD,train,0
3780-YVMFA,test,0
3874-EQOEP,train,1
1679-JRFBR,train,0
9073-ZZIAY,test,0
3077-RSNTJ,test,0
6551-GNYDG,train,0
9167-APMXZ,test,0
2749-CTKAJ,train,0
6371-NZYEG,train,0
7554-NEWDD,train,0
8992-VONJD,train,0
0867-MKZVY,train,1
4482-EWFMI,train,0
4648-YPBTM,test,0
2907-ILJBN,test,0
6345-FZOQH,test,0
3376-BMGFE,train,1
5997-OPVFA,train,0
3445-HXXGF,train,1
1159-WFSGR,train,0
7654-YWJUF,test,0
1875-QIVME,train,1
6727-IOTLZ,train,0
0691-JVSYA,train,1
5918-VUKWP,train,0
1744-JHKYS,test,0
2656-FMOKZ,train,1
2070-FNEXE,test,1
5947-SGKCL,train,0
3712-PKXZA,train,0
6317-YPKDH,test,1
6582-OIVSP,train,0
9367-WXLCH,train,1
5524-KHNJP,test,0
1918-ZBFQJ,train,1
1024-GUALD,test,1
4827-USJHP,train,0
8167-GJLRN,train,0
0956-SYCWG,train,0
8017-UVSZU,train,0
7100-FQPRV,train,0
2472-OVKUP,train,1
2984-RGEYA,test,0
9680-NIAUV,train,0
2146-EGVDT,train,0
2604-IJPDU,test,0
9178-JHUVJ,train,0
6168-YBYNP,train,0
7255-SSFBC,train,0
3645-DEYGF,train,0
9323-HGFWY,train,0
8544-GOQSH,train,0
3363-DTIVD,train,0
7018-WBJNK,test,0
9142-KZXOP,train,0
7674-YTAFD,train,0
6348-SNFUS,train,0
1285-OKIPP,train,1
7825-ECJRF,train,1
1347-KTTTA,train,0
7841-TZDMQ,train,1
4195-NZGTA,train,0
7157-SMCFK,test,0
4709-LKHYG,test,0
2504-DSHIH,train,0
0699-NDKJM,train,0
9286-BHDQG,test,0
0230-WEQUW,train,0
2040-LDIWQ,train,0
6496-JDSSB,train,0
9408-SSNVZ,train,1
4443-EMBNA,train,0
6469-MRVET,train,0
0742-MOABM,test,1
5961-VUSRV,train,0
6778-JFCMK,train,0
6341-JVQGF,train,0
2232-DMLXU,train,1
4811-JBUVU,train,0
0945-TSONX,train,0
2651-ZCBXV,train,0
3316-UWXUY,train,0
8937-RDTHP,train,1
7083-MIOPC,train,0
1984-GPTEH,train,0
1251-KRREG,train,1
0621-JFHOL,train,0
9903-LYSAB,train,0
0094-OIFMO,train,1
9227-UAQFT,train,0
7301-ABVAD,train,0
6614-FHDBO,train,0
7576-ASEJU,train,0
9058-HRZSV,train,0
4522-AKYLR,train,0
0221-WMXNQ,train,0
0303-UNCIP,train,0
9947-OTFQU,train,1
0322-YINQP,train,1
0959-WHOKV,test,0
4075-JFPGR,test,0
4629-NRXKX,train,1
9514-JDSKI,train,1
3282-ZISZV,train,0
3675-YDUPJ,train,0
4111-BNXIF,train,0
7017-VFHAY,train,0
6655-LHBYW,train,0
4959-JOSRX,train,1
5046-NUHWD,train,0
7273-TEFQD,test,1
3606-TWKGI,train,1
7529-ZDFXI,test,0
7605-BDWDC,train,0
1950-KSVVJ,train,0
0123-CRBRT,test,0
6292-TOSSS,test,0
3197-ARFOY,test,0
6323-AYBRX,train,1
7014-ZZXAW,train,0
4385-GZQXV,train,1
7633-MVPUY,train,0
6366-ZGQGL,train,1
4716-HHKQH,train,0
5940-AHUHD,train,1
6432-TWQLB,train,1
4484-GLZOU,train,1
3179-GBRWV,test,0
8645-KWHJO,train,0
4130-MZLCC,train,0
0314-TKOSI,train,0
8229-MYEJZ,train,0
2080-SRCDE,train,0
9577-WJVCQ,train,0
9512-UIBFX,test,1
6202-DYYFX,train,0
3808-HFKDE,train,0
5583-SXDAG,train,1
3488-PGMQJ,train,1
3580-REOAC,train,1
7534-BFESC,test,1
3727-OWVYD,train,0
2294-SALNE,train,0
4847-TAJYI,train,0
1563-IWQEX,train,0
8203-XJZRC,train,0
6556-DBKZF,train,0
6851-WEFYX,train,0
2985-JUUBZ,train,0
6390-DSAZX,train,1
0895-LMRSF,test,0
8098-LLAZX,train,1
8266-VBFQL,test,0
8181-YHCMF,test,0
2240-HSJQD,train,0
1248-DYXUB,train,0
0265-EDXBD,train,1
4115-BNPJY,train,0
3167-SNQPL,train,0
4091-TVOCN,train,0
1098-TDVUQ,train,0
7277-OZCGZ,test,0
1557-EMYVT,train,0
2799-ARNLO,train,0
7563-BIUPC,train,1
5027-YOCXN,test,0
3973-SKMLN,train,0
2321-OMBXY,train,1
2840-XANRC,train,1
6745-JEFZB,train,0
5020-ZSTTY,train,1
9880-TDQAC,train,0
8705-WZCYL,train,0
7102-JJVTX,train,0
8626-PTQGE,test,0
4983-CLMLV,test,0
5701-YVSVF,train,0
5804-LEPIM,train,1
5697-GOMBF,train,0
2739-CACDQ,train,0
9385-EHGDO,train,0
9498-FIMXL,train,0
2379-GYFLQ,train,0
0122-OAHPZ,train,1
2868-SNELZ,train,1
4322-RCYMT,train,1
6680-NENYN,train,1
2088-IEBAU,test,0
7982-VCELR,train,0
1343-EHPYB,train,1
6035-BXTTY,train,0
6885-PKOAM,train,0
7520-HQWJU,test,0
9639-BUJXT,train,0
5924-SNGKP,test,0
0021-IKXGC,train,0
2034-GDRCN,test,1
8966-SNIZF,train,0
6243-OZGFH,train,0
4654-DLAMQ,train,0
0513-RBGPE,test,0
5160-UXJED,train,0
4115-NZRKS,test,0
0219-YTZUE,train,1
0623-IIHUG,train,1
4572-DVCGN,train,1
3351-NGXYI,train,0
8984-EYLLL,train,0
9057-MSWCO,train,1
9833-TGFHX,train,0
9294-TDIPC,train,0
5229-DTFYB,train,0
0104-PPXDV,train,0
5176-LMJXE,train,0
3583-KRKMD,train,0
1010-DIAUQ,train,1
9069-LGEUL,train,0
7302-ZHMHP,train,0
9571-EDEBV,train,0
3520-FJGCV,train,0
6563-VRERX,train,0
0259-GBZSH,train,1
6122-EFVKN,train,0
2805-EDJPQ,train,0
6862-CQUMB,train,0
7156-MXBJE,train,0
6158-HDPXZ,test,0
9601-BRXPO,train,1
2863-IMQDR,train,0
5686-CMAWK,train,0
5651-CRHKQ,train,0
6905-NIQIN,train,1
8204-YJCLA,train,0
5167-ZFFMM,test,1
6583-SZVGP,test,0
4895-TMWIR,train,1
0533-BNWKF,train,1
1708-PBBOA,train,0
8782-LKFPK,train,0
5522-JBWMO,train,0
3597-MVHJT,train,0
9774-NRNAU,train,0
0224-RLWWD,train,0
9967-ATRFS,train,0
3951-NJCVI,train,0
2977-CEBSX,train,0
0177-PXBAT,train,0
6599-CEBNN,train,1
2519-ERQOJ,train,0
5876-QMYLD,train,0
2277-AXSDC,train,0
9442-JTWDL,train,0
0979-PHULV,test,1
3067-SVMTC,train,0
5495-GPSRW,test,0
7606-BPHHN,test,0
4742-DRORA,train,0
0111-KLBQG,train,0
4800-VHZKI,train,1
7989-CHGTL,train,1
0334-GDDSO,train,1
4163-NCJAK,train,0
5233-AOZUF,train,0
5973-EJGDP,train,0
1996-DBMUS,train,0
7916-VCCPB,train,0
4686-GEFRM,train,0
5249-QYHEX,train,0
0578-SKVMF,train,1
5564-NEMQO,train,1
2233-FAGXV,train,0
5605-IYGFG,train,0
7663-ZTEGJ,train,0
3935-TBRZZ,train,0
8111-BKVDS,train,0
2055-SIFSS,train,0
2806-MLNTI,train,0
8734-DKSTZ,train,0
4360-PNRQB,test,0
6152-ONASV,train,0
9063-ZGTUY,train,1
7781-HVGMK,train,0
2181-UAESM,train,0
2957-LOLHO,train,1
6048-NJXHX,train,0
2320-SLKMB,train,0
4980-URKXC,train,0
4376-KFVRS,test,0
5886-VLQVU,train,0
3577-AMVUX,train,0
0771-WLCLA,train,0
5628-RKIFK,train,0
0206-TBWLC,train,0
2937-FTHUR,train,0
1910-FMXJM,train,0
7752-XUSCI,train,1
4110-PFEUZ,train,1
0732-OCQOC,test,0
5168-MSWXT,train,0
1090-ESELR,test,0
8592-PLTMQ,train,0
5760-WRAHC,train,0
8847-GEOOQ,train,0
0256-LTHVJ,test,1
4785-FCIFB,test,0
8313-NDOIA,train,0
5149-CUZUJ,train,0
0942-KOWSM,train,0
4237-CLSMM,test,0
1452-VOQCH,train,0
4719-UMSIY,train,0
6614-VBEGU,train,0
0880-TKATG,train,1
3811-VBYBZ,train,1
1480-BKXGA,train,0
2996-XAUVF,train,0
9076-AXYIK,train,0
5968-XQIVE,train,0
8896-RAZCR,train,0
4640-UHDOS,test,1
4933-IKULF,train,0
3583-EKAPL,train,1
1304-BCCFO,train,0
4104-PVRPS,train,0
9399-APLBT,train,1
2359-KMGLI,train,1
3780-DDGSE,test,0
4431-EDMIQ,train,0
0306-JAELE,train,1
6227-HWPWX,test,1
0486-LGCCH,train,0
0447-BEMNG,test,1
4612-SSVHJ,train,0
5168-MQQCA,train,0
5949-XIKAE,train,1
7971-HLVXI,test,0
9094-AZPHK,train,0
3649-JPUGY,test,0
4472-LVYGI,train,0
8372-JUXUI,train,1
3552-CTCYF,train,0
6778-YSNIH,train,0
0388-EOPEX,test,1
5756-OZRIO,train,0
6579-JPICP,train,0
8205-OTCHB,train,1
4134-BSXLX,train,0
0505-SPOOW,train,0
6235-VDHOM,train,1
7783-YKGDV,train,1
4374-YMUSQ,train,0
4513-CXYIX,train,0
3957-HHLMR,train,0
7803-XOCCZ,test,0
5736-YEJAX,train,0
5609-CEBID,train,1
8981-FJGLA,train,0
7218-HKQFK,test,1
4636-QRJKY,train,1
1135-LMECX,train,0
4332-MUOEZ,test,0
8535-SFUTN,train,0
5956-VKDTT,train,1
8677-HDZEE,train,0
2475-MROZF,train,0
9412-GHEEC,train,1
3482-ABPKK,train,0
6705-LXORM,test,0
0257-ZESQC,train,1
7531-GQHME,test,0
5174-ITUMV,train,0
4109-CYRBD,train,0
0913-XWSCN,test,0
6825-UYPFK,test,1
8397-MVTAZ,test,1
0750-EBAIU,train,0
8606-CIQUL,train,0
3571-DPYUH,test,0
7601-GNDYK,train,0
0356-OBMAC,train,0
8067-NIOYM,train,0
1403-GYAFU,test,0
4234-XTNEA,train,0
1297-VQDRP,train,0
9282-IZGQK,train,1
5348-CAGXB,train,0
0621-HJWXJ,train,0
5844-QVTAT,train,0
8905-IAZPF,train,0
5394-MEITZ,train,0
6859-QNXIQ,train,0
2782-LFZVW,test,0
2866-IKBTM,train,0
1342-JPNKI,train,1
2817-NTQDO,train,1
7129-AZJDE,train,0
6986-IJDHX,train,1
2560-PPCHE,train,0
4676-MQUEA,train,0
8138-EALND,train,0
3580-HYCSP,train,0
1352-HNSAW,train,0
2075-PUEPR,test,0
1982-FEBTD,train,0
5301-GAUUY,test,1
5791-KAJFD,train,0
2654-VBVPB,train,0
1154-HYWWO,train,0
2501-XWWTZ,test,0
3716-UVSPD,train,0
6815-ABQFQ,test,0
7343-EOBEU,train,0
3701-SFMUH,train,0
6103-LIANB,train,0
7319-VENRZ,train,0
5846-NEQVZ,train,0
6967-QIQRV,train,0
5781-RFZRP,train,0
0939-YAPAF,train,1
0308-IVGOK,train,0
7293-LSCDV,train,0
7025-WCBNE,train,0
5756-JYOJT,train,0
4710-FDUIZ,train,1
6030-REHUX,train,0
9548-LIGTA,train,0
5150-LJNSR,train,0
8270-RKSAP,train,0
6522-YRBXD,train,0
2640-LYMOV,train,0
1218-VKFPE,test,1
3627-FHKBK,test,1
2865-TCHJW,test,1
1423-BMPBQ,train,0
2393-DIVAI,train,0
5192-EBGOV,train,1
4568-KNYWR,train,0
8752-IMQOS,train,0
0742-LAFQK,train,0
0795-LAFGP,train,0
0619-OLYUR,train,0
5512-IDZEI,train,0
0459-SPZHJ,train,0
0215-BQKGS,train,0
9244-ZVAPM,train,0
0719-SYFRB,test,1
8208-EUMTE,train,0
5172-MIGPM,train,0
1710-RCXUS,train,0
0374-FIUCA,train,0
5839-SUYVZ,train,0
5173-ZXXXL,train,0
1096-ADRUX,train,0
2001-MCUUW,test,0
2731-GJRDG,train,0
4723-BEGSG,train,0
6516-NKQBO,train,0
8672-OAUPW,train,0
8207-DMRVL,train,0
3419-SNJJD,train,1
6543-CPZMK,test,1
4765-OXPPD,train,1
2804-ETQDK,train,0
6689-VRRTK,train,0
7138-GIRSH,train,0
9396-ZSFLL,train,0
6464-KEXXH,train,0
7134-MJPDY,test,0
5240-CAOYT,test,0
4059-IIEBK,train,0
4881-JVQOD,train,0
0516-UXRMT,test,0
4851-BQDNX,train,0
5148-HKFIR,train,0
1009-IRMNA,train,1
3003-CMDUU,train,0
5016-IBERQ,test,0
6797-UCJHZ,train,0
2469-DTSGX,train,0
4554-YGZIH,train,1
5099-BAILX,train,1
9931-KGHOA,test,0
1775-KWJKQ,train,0
7665-VIGUD,train,0
9411-TPQQV,train,0
7207-RMRDB,train,1
7954-MLBUN,train,0
2077-DDHJK,train,0
4913-EHYUI,train,1
0195-IESCP,train,1
9574-BOSMD,train,0
4580-TMHJU,train,1
0970-ETWGE,test,1
4908-XAXAY,train,0
8404-VLQFB,train,0
1626-ERCMM,train,1
0887-HJGAR,train,1
2391-IPLOP,train,0
5644-PDMZC,train,1
3509-GWQGF,train,0
9576-ANLXO,test,1
2024-BASKD,train,1
5845-BZZIB,test,0
1140-UKVZG,train,0
4160-AMJTL,test,1
5183-SNMJQ,train,0
8100-PNJMH,train,0
7838-LAZFO,test,0
4464-JCOLN,test,1
2085-JVGAD,train,0
5650-VDUDS,train,1
8095-WANWK,train,0
3030-ZKIWL,train,0
9565-FLVCG,train,0
8755-OGKNA,train,0
2800-VEQXM,train,0
7538-GWHML,train,1
5533-RJFTJ,test,0
3859-CVCET,train,1
0214-JHPFW,train,0
5642-MHDQT,train,0
3088-FVYWK,test,0
3276-HDUEG,train,1
