Feature,Importance Mean,Importance Std
tenure,0.1349577525510619,0.015348076482924237
Contract,0.08797760570747624,0.01878703209995463
InternetService,0.024617487083321354,0.00982194121394313
OnlineSecurity,0.014250345147381877,0.009709907156796349
TechSupport,0.010505153198797712,0.006382234801547234
MonthlyCharges,0.010396212427526436,0.007122426546982595
TotalCharges,0.00819884499041173,0.0038288566979248722
PaperlessBilling,0.0045586027927198795,0.00530365890112863
PaymentMethod,0.0019728851542590463,0.006548748345135615
OnlineBackup,0.0017334925378196086,0.002784814438525585
StreamingMovies,0.0002479967730382671,0.00136511208559543
PhoneService,0.00020955699793203663,0.0003926692714568854
SeniorCitizen,1.1424335283100052e-05,0.001793705887005769
Partner,0.0,0.0
DeviceProtection,-0.00016978530258029978,0.00021834035199957085
Dependents,-0.00035862993403782404,0.0011512621409831743
gender,-0.0004719506353851599,0.0003902926657517517
StreamingTV,-0.0011132476796675394,0.0012765030789752834
MultipleLines,-0.0020235969601250293,0.003670410413424055
